"logFC","logCPM","PValue","FDR"
"PIK3C3",0.768814621271217,3.69490687086343,0.0200650148075188,0.819419940575319
"MIR181A1",1.31856686009432,2.74317741266164,0.0201541360530503,0.819419940575319
"C7orf60",1.21854419643842,2.8796599272009,0.0201811687008659,0.819419940575319
"HDAC3",0.567458765180607,5.30601083251769,0.0201979186056412,0.819419940575319
"VEGFB",0.671092556369694,3.99234873806477,0.0202126280358983,0.819419940575319
"PPA2",-0.473389532541555,5.78626798434286,0.0204690985699747,0.823874433673112
"DARS",0.499731513007144,5.66390030309888,0.0205088382429055,0.823874433673112
"NPM3",-0.554978945822547,5.05367081726892,0.0205907569352872,0.823874433673112
"GCHFR",0.534167883713702,5.32375359701769,0.0206087405928665,0.823874433673112
"HSDL1",0.611908085607324,4.27664938339576,0.0206627640313931,0.823874433673112
"ENO3",0.845792913521192,3.47723527611895,0.0207289571373107,0.823874433673112
"SNORD115-10",1.11088484701424,6.08018826419329,0.0212851416302323,0.841788260185789
"PRSS53",1.88995300015803,2.29427563580811,0.0213181042704508,0.841788260185789
"SNTA1",0.961196956773686,3.14731342215706,0.0214429818513301,0.842872010153458
"SCARNA21",0.593206667750393,4.95693532186378,0.0214841574697888,0.842872010153458
"CBWD3",0.549004513637406,4.56985674517511,0.0215537709415238,0.842884122800042
"FAM127A",0.757290697450327,3.72290558317932,0.0216406197988951,0.843568006391547
"KDM5B",0.661335715499977,5.04372066880163,0.0218361000604152,0.848468526948145
"SERF1A",-0.600987776962736,4.21370920075175,0.0221038635314702,0.85613754226032
"PLAUR",0.780808887564108,3.62435446000782,0.0222742995660809,0.860000099437066
"APAF1",0.958469091563492,3.27727816722778,0.0224171438800946,0.861699950752144
"BCKDK",0.625438616817326,4.12688023796167,0.0224600299612259,0.861699950752144
"DHX32",0.585898883352159,4.31117780616003,0.0225966855038117,0.86289733590132
"TUBB2B",0.899375147200126,3.40006093950695,0.022775040686098,0.86289733590132
"RAP2A",0.897749610591694,3.3916740077475,0.022775040686098,0.86289733590132
"MIR3609",0.891237890543753,3.39502565927187,0.022775040686098,0.86289733590132
"TAGLN2",0.511653343656005,5.36605148967769,0.022991791851834,0.868404262428588
"HIST1H4B",-0.454068088519596,7.6555862473348,0.0232935865083188,0.874795534902726
"HIST1H2BG",-0.360868130437787,8.33109959213084,0.0233048637813257,0.874795534902726
"RHOB",0.539622695292418,4.90343461222156,0.0235543755465229,0.880951431311294
"ZNRD1",-0.620384587199417,4.14851177854516,0.0236137285485514,0.880951431311294
"PCDH1",1.52260298743455,3.16662684191728,0.0240793843117485,0.895576366970904
"MRPL17",0.514788991811769,4.60787849908285,0.0244530664557381,0.906701811691119
"RNY4",0.820434273333988,5.67408456427494,0.0248252517710377,0.917704291912949
"FSTL3",0.871233932675771,3.43562505040338,0.0250326065218133,0.922565334903918
"GLG1",0.552369523061572,4.45570250835427,0.025669313177157,0.943172769971551
"SNORD115-9",1.10158601089013,4.64234018889315,0.026407175357921,0.964555351802508
"SNORD115-12",1.10158600482293,4.64234018889315,0.0264098776640548,0.964555351802508
"SERF1B",-0.477511396705703,4.69682630881807,0.0267026794441569,0.969701148683645
"HIST1H4J",-0.84278030614584,9.18253517476795,0.0267102355541047,0.969701148683645
